ID,Review_Title,Review,Rating
148,Value-for-money,Looking very sweet to my bed...nice quality.,1
149,Nan,Nice,1
151,Super!,ok,1
152,Moderate,Color faded very quickly,0
153,Utterly Disappointed,Its not perfect,0
154,Simply awesome,Good,1
155,Expected a better product,Bed quality,0
156,Very poor,Very poor,0
157,Really Nice,Good product,1
158,"Not GOOD
","Product not according to price
",0
159,"good
","good
",1
160,Nice product,Good,1
161,Worth every penny,Good quality,1
162,Excellent,Amazing product,1
164,Good choice,Nice,1
165,Excellent,Very good,1
166,"Fine
","Good product
",1
167,Good choice,Good,1
168,Fabulous!,no memory card,1
169,Pretty good,Good to have it,1
171,Horrible,Not good,0
172,Excellent,very nice,1
173,Nice product,"I like it, nice colapsable cubburd",1
174,Terrific,Good product,1
175,Classy product,Super,1
177,Terrific,Very good quality,1
178,Classy product,very good product,1
180,Terrific,Good,1
182,Wonderful,"It is a very good product as described, it was the same quality as well, according to price.",1
183,Utterly Disappointed,Bad product,0
184,Wonderful,Good product .I really excited.so very useful,1
185,Mind-blowing purchase,Good,1
186,"Pure Heaven
","Okay so just got the delivery and used them to listen to a song and I am here just after one song. The music quality is just pure heaven. Previously used various earphones of panasonic, JBL, sony but this are the best ones yet. :DGet them, dont think twice
",1
187,"Excellent
","Very good
",1
188,Very poor,Waste product,0
189,Delightful,So good,1
191,"Overall good experience....good battery life
","Good sound and battery life....never out of charge till dateOverall good experience
",1
193,Highly recommended,Super,1
194,"Value for money
","The best product in this range.. Don't think, just go for it..
",1
195,"Nor worth for price
","Sound quality is poor when compare to MI headset. No BASS, very basic model headset. Not worth for price. Not find option to return this.
",0
196,"Amazing sound experience
","These bluetooth headphones are awesome, JBL keeps the sound experience great as always. Pure bass, clear, and crisp trible. The music  coming out is clearly audible even in at low volumes and high traffic (road) conditions. The only concern for me is the battery does not last that long even after a full charge. I highly recommend this to every music lover out there.
",1
198,"superb...amazing
","I got it from DNA INFOTECH. Its originalI checked it by scanning QR code. Regarding sound its amazing and bass is awesome. I felt there is some  Inbuilt noise cancellation effect. More over,it has 2 year warranty. What u want more..
",1
199,Delightful,Nice product,1
200,"Five Stars
","Nice product
",1
201,"Don't Buy This Product üôÖ
","I'm not happy with this product. If you've use JBL earphones before, you won't get feel like JBL from this product. I've purchased this product in ""Rs 2399""üí∞ but made quality is not like the price. And important topic is, after every few minutes it'll automatically disconnect from device you connected if you get any call. Sometimes it unable to response when we've to power off the earphones. If you're reading this don't buy this product, go for another one otherwise order from JBL OFFICIAL SITE, you'll get low price also.
",0
202,Not recommended at all,Simple,0
203,Did not meet expectations,Third class quality products,0
204,Perfect product!,Very good quality camera...,1
206,Terrific,Nice quality,1
207,"Not at all satisfied with the product
","Pros -1. Sound quality is not bad2. Build quality is goodCons-1. No haptic motor (doesn't viberate on call)2. Battery life is below average3. Design is also not up to the mark as the buds keep hanging all the time
",0
208,"Awesome product
","Good product, go for it, higly recommended in price range of 1000 bucks, but they should provide some extra ear fins.
",1
209,Perfect product!,Very good,1
210,Perfect product!,Quality and design is very good.Pure cotton,1
211,Best in the market!,Nice...,1
212,Really Nice,Very nice,1
213,"Wire is log
","I don't like dis product
",0
214,Best in the market!,Super,1
215,Wonderful,Nice,1
216,Perfect product!,Nice product,1
217,"It's good
","It's working good ,
",1
218,Highly recommended,Nice Product,1
219,Wonderful,Gud product,1
220,Super!,Perfect,1
221,Perfect product!,thanks,1
222,Good choice,I love this product,1
223,Highly recommended,Excellent product.. belive blindly,1
224,Nice product,Good üëç,1
225,Highly recommended,Nice product,1
226,Nan,Good product üëçüëç,1
228,Good quality product,Good quality,1
229,Highly recommended,nice,1
230,Nice product,Good,1
231,Nice product,Good,1
232,Nice product,Super product,1
234,Super!,Very good product.,1
235,Perfect product!,Nice bedsheet,1
237,Great product,Vary good product,1
239,Just wow!,Very good,1
240,Very Good,Super,1
241,Classy product,Super,1
242,"Worth
","Worth..
",1
243,"smooth rocker
","Worth the money and u will meet your expectations at this price
",1
244,Highly recommended,Very nice,1
246,Must buy!,Very Good,1
247,Brilliant,"ItÉ??s Good  works well ,",1
248,Worth every penny,Good,1
250,Horrible,Waste of money.....Dont buy,0
251,Really Nice,Good product,1
252,"A decent and functional product with sooper bass
","Mid range is poor. The finer sounds are not extracted.The product is extremely light and u won't feel it's there. This is an awesome feel. Sooper bass and crystal clear pitch. Bluetooth connectivity is remarkable. I received it yesterday and played for 3. 5 hours without and drop in performance. Seems sturdy. Yes, while listening to audio from Gaana, was getting a 3D feel, as if am sitting midst of a concert.
",1
253,"Good
","Nice
",1
254,Terrible product,Worst cooling normal table fan is better compared to this no cooling,0
256,"Pure Bass
","Tried several earphone in this range........ This one is good.Length should be little short...........
",1
258,Delightful,Good product,1
259,Nice product,awesome,1
260,Very Good,Nice product,1
262,Pretty good,Good,1
263,Terrific,Nice,1
264,"Good quality headphone
","Loving yhe soundphone
",1
265,"Nice product and sound quality üëç
","Good product by boAt. Great sound quality. Enjoying the  bass.
",1
266,Just wow!,NYC,1
267,Wonderful,Nice,1
268,Value-for-money,Good,1
269,Great product,Nice,1
270,"Dead within one month.
","I only listen song on weekends other wise I have busy schedules.Only worked for 20 days.Really I changed it only 5 times.DON'T BUY WASTE OF MONEY
",0
271,"Good product
","Product got deliver timely. Sound quality is very good when listen music or from YouTube.Battery backup last up to 4-6hrs depending upon usage. Thanks to boat bluetooth speakers.
",1
272,"Nice
","Nice Product
",1
273,"5 star deal
","Paisa wasool deal with amazon in big billion days best deal buy 999 only product is  good sound quality is best and battery life is unbelievable....best battery charge once use full upto 6 to 7 hrs
",1
274,"Microphone is really bad
","Microphone is really bad... speakers are good but of no use if u cant use that for calls.
",0
275,"Value for money
","Awesome sound
",1
276,Perfect product!,Good,1
277,Nice product,Very nice bedsheet..,1
278,Expected a better product,Ok,0
279,"Another quality product from Sennheiser.
","If ur looking for all small details in sound with required bass then just go for itbecause it provides u balanced sound.
",1
280,Worthless,No comments,0
281,Classy product,Super,1
282,Mind-blowing purchase,Good,1
283,Just wow!,Good,1
284,Awesome,Nice,1
285,Excellent,good,1
286,Highly recommended,Excellent üëå,1
287,Just wow!,Go for it,1
288,Awesome,GOOD,1
290,"Good
","Everything good but the buds pop out of my ear everytime. Tried all the sizes of buds.
",1
291,Moderate,very poor,0
292,"AWESOME!!FANTABULOUS‚ù§Ô∏è‚ù§Ô∏è‚ù§Ô∏è
","I will not post the pics as the Headphone is Already Awesome.Just Listen this song in the pic on youtube and you will find out the true Worth of your Producd and Money.
",1
293,Terrific purchase,Super,1
294,Mind-blowing purchase,V nice,1
295,Delightful,Good,1
296,Best in the market!,Nice,1
297,Brilliant,Excellent product,1
298,Best in the market!,Very very good,1
299,"Awsome
","Nice product
",1
300,Perfect product!,Good,1
301,Wonderful,Good,1
302,"Awesome earphones.
","It's really good. Sound quality, noise cancellation etc are superb. Just its microphone isn't that much good. It is bit difficult for the other person to hear everything clearly on a phone call while using boot rockerz 225.
",1
303,Great product,Good quality product,1
304,Just wow!,Good,1
305,Wonderful,"Good chimney Good service from Faber(eurodomo) Also the technician comes to visit was polite,well behaved,experienced thankyou Faber",1
306,Fabulous!,Good quality,1
307,Terrific,Good,1
308,Just wow!,very useful product,1
309,"Good
","Gud
",0
311,"Worth of money
","It is worth of money, i lost my earphones and I have purchased it again.as usual delivery is Very good...‚ò∫
",1
312,Not recommended at all,Colour faded after first wash and bit hard material,0
313,Unsatisfactory,Size is small,0
314,Wonderful,Nice product,1
315,Best in the market!,Good product,1
316,Excellent,Gud,1
318,Delightful,Ok,1
319,Simply awesome,Cover quality should be improved otherwise superb,1
320,"Awesome Product! Vocals and bass are a little low
","Awesome Product! Vocals and bass are a little low, but well balanced! Voice doesn't tear up. If you are looking more more boom bass, i'd suggest to go for Sennheiser cx180. This one's more balanced overall, and pretty powerful too. And with a mic, it feels more complete :pAll in all, money well spent :)
",1
321,Wonderful,Good quality.,1
322,Classy product,Good quality,1
323,Really Nice,Ok,1
324,Awesome,Good,1
325,Unsatisfactory,Very huge in size cooling no good feels air just like normal fan,0
326,Terrific purchase,Good,1
327,Simply awesome,nice camara under 23000 Takar modda,1
328,"Value for money
","Value for money
",1
329,"Worst headphone
","Worst headphone ever.this is the condition of headph within 1month.will never recommend anyone for this headph.waste of money.
",0
330,Excellent,Good one,1
331,Delightful,Product is very good.. quality of product is also good..thanks Flipkart for providing safe and on time delivery.,1
332,Super!,Super product,1
333,"Awesome
","Amazing headphones. Love it. Value for money . Best choice I made.
",1
334,Really Nice,Good product,1
335,Highly recommended,Super,1
336,Best in the market!,Super,1
337,Terrific,Nice,1
338,Pretty good,Nice one,1
340,Fabulous!,Awsome Product,1
341,Wonderful,Good quality.Mid noise.Great vacuum power .Touch and motion sensor working good,1
342,Terrific,Wonderful product for keeping books n clothes,1
343,"Issue with the Boat Bluetooth earphones
","Hello sir this Shiva i have parched the project of Boat Bluetooth earphones willListening song will  traveling its gets disturbance  or will talking call will traveling it gets disturbance So Please can you help me out in this issue Sir
",0
344,"Not good just ordinary
","No bass and no anc. Not worthy for 4500
",0
345,Perfect product!,Super,1
346,"Worst to the core
","Worst to the core....Battery life is terrible....One side of the earphone stopped working immediately after 1 month of purchase
",0
347,"255
","During unpacking When i see d box it was in very bad condition . Sound Quality is not good .
",0
348,Highly recommended,Good,1
349,Worth the money,Nice,1
350,Could be way better,Waste of money,0
351,Very poor,Material not good,0
352,Terrific purchase,Good product,1
354,Very Good,Good,1
355,Good choice,Super,1
356,Super!,Amazing,1
357,"For first few days i was really disappointed. The headphones sounded cheap
","For first few days i was really disappointed. The headphones sounded cheap. I actually thought to go for sony again. But after a week suddenly it started to sound great. Bass is good and punchy but not at all overpowering. Treble is fine. Vocals are very very clear. Well it is not comparable to my previous headphone ie sony mdr xb70.but  it is good and very comfortable. Surround sound is quite good and noise cancellation works ok, though i felt that the sound is tweaked in some places and certainly is not for a purist. But, overall at this price this is really a good headphone.
",1
358,Unsatisfactory,don't buy,0
359,Super!,Nicr,1
360,Brilliant,Perfact,1
362,Fabulous!,Good working,1
363,Useless product,Bad product,0
364,Did not meet expectations,Very Bad,0
365,Best in the market!,So Nice Product ü§ùüëå,1
366,"Good earphones.....Not the best....but not worst either
","I had say go for it if you are a casual listener....The audio does not has the same base as compared to the sonys but the sound quality is good...Earphones are good ........but not as durable as compared to other options available in the same price segment.....overall I had give it a solid 4 out of 5......
",1
367,Don't waste your money,Very bad,0
368,Mind-blowing purchase,Good Quality,1
369,Wonderful,Good,1
370,Terrific purchase,Good product,1
372,Wonderful,Nice product,1
373,Value-for-money,Good,1
374,Nan,Ok,1
375,Brilliant,Very good üòäüòäüòäüòäüòäüòä,1
376,Good quality product,Excellent,1
377,Simply awesome,Its awesome product,1
378,Expected a better product,Not good,0
379,Best in the market!,Nice,1
380,"Excellent in budget
","Excellent sound, battery, and especially mic for BT headphones.Best in budget
",1
381,Really Nice,"Nice, warm and cozy",1
382,Perfect product!,"Don't second-guess yourself; simply make the purchase. The design is lovely, and the warmth is adequate for a typical winter. Now I am thinking about buying another one.",1
383,Good choice,good,1
384,Awesome,Best product,1
385,"But if Ur not a bass lover
","Less bass with more clarity. Idle for long listeners and not recommended for bass lovers. You won't stress out even after listening for hours. Am using this from past 4 years and I don't see any wear n tare on it and also because I handled it carefully
",1
386,Brilliant,Size should be slightly big. Otherwise all good .,1
387,Wonderful,Good,1
388,Wonderful,Good,1
389,Just wow!,It is a good cooler at a affordable price.,1
390,Terrific purchase,very good product,1
391,Terrific,Nice,1
392,"Don't buy this
","I have claimed several exchange in warranty. But none of the pieces works.
",0
393,Mind-blowing purchase,Nice camera... excellent  photos. Best photos get from 50mm prime lens. Kit lens is poor quality..,1
394,Worth the money,Good,1
395,Good quality product,Good product,1
396,Perfect product!,"Very good and nice comfort for singles. Don't trust negative reviews, trust me you guys won't feel regret after the purchase. Best best at this price range",1
397,Good quality product,Good,1
398,Mind-blowing purchase,very good product value for money,1
400,Wonderful,Very useful and value for money,1
401,Terrible product,waste of money,0
402,"Not at all comfortable to wear
","Not at all comfortable to wear. Hence sound quality doesn't matter.
",0
404,Terrific,Value for money,1
405,Terrific,Nice,1
406,"Bass booster
","Nice wireless Bluetooth earphones in this price range buyer's no doubt bought it just buy it
",1
407,Highly recommended,Nice,1
408,Very poor,After washing twice all the color is gone,0
409,"Good Product
","I liked it!
",1
411,Must buy!,Fabulous product quality...very very nice almirah,1
412,Great product,Same as shown,1
413,Perfect product!,Excellent,1
414,Very Good,Good,1
415,Very poor,Size is very small. Suitable for small kids,0
416,Terrible product,Bad,0
417,Just wow!,Nice,1
418,Super!,Good product,1
419,"Just wow..
","Amazing sound quality.. But thin cable.. But cable quality is good..
",1
420,Worth every penny,Good,1
421,Highly recommended,Awesome product,1
422,Highly recommended,Superb product..same as show n quality is awesome..l am so happy ü•∞,1
423,Must buy!,Good,1
424,Expected a better product,sound high,0
425,"Not value for money
","Not value for money. Overpriced.If you are looking for Bass and balanced sound don't go for this product.Trebles are on a high giving you a headache.
",0
426,Highly recommended,Just awesome,1
427,Good choice,Nice product,1
428,"Good product as this price .
","It's is a good basic product and works fine . However the ear buds are not very comfortable and it slightly cause discomfort after a wear of over an hour or so.The bass is ok nothing great.
",1
429,Best in the market!,very good,1
430,Terrific,Good,1
431,Useless product,Wrost cooler ever purchased. Not even 10 feet throw. Build quality is not upto mark. Purchase another good brand cooler instead of this.,0
432,Slightly disappointed,It has issue with body. The plastic fitting is not good,0
433,Fabulous!,Good product,1
434,Pretty good,Good product,1
435,Worth every penny,Awesome,1
436,Very Good,Super but quality improve plz... I love this product... My son really happy... Thank for service,1
437,Great product,Nice,1
438,"Best in sound and bass but poor noise cancellation
","Best sound and bass quality I bought two and used for 1 yearOnly noise cancellation is poor
",1
439,Must buy!,Nice,1
440,Great product,Good quality,1
441,Good quality product,Excellent,1
442,"Excellent
","Excellent Bluetooth battery back up is also good I m using it from last 1 month no complaint .Best Bluetooth till date I have used.Good job samsung for this wonderful product.
",1
443,Terrific,Good Product,1
444,Brilliant,Resanabulrate  thankyou flipcort,1
445,"Quality
","Great sound
",1
446,Good quality product,good,1
447,Highly recommended,Very good product,1
448,Nice product,Good quality,1
449,Excellent,"Best quality in this range, for small family it's good one",1
450,Terrific,Nice,1
451,Did not meet expectations,Very bad,0
452,Highly recommended,Good product,1
453,Really Nice,Nice..,1
454,Just wow!,Best,1
456,Brilliant,Good quality,1
457,Awesome,Good looking,1
458,Good quality product,Good product,1
459,Slightly disappointed,Very Small size,0
460,Brilliant,Awesome Product.,1
461,"3 hourse of battery life
","Sound quality is good but battery life is very poor. It is giving on call time of 3 hours
",0
463,Value-for-money,Very good product,1
464,Wonderful,Excellent,1
465,Very Good,Good,1
466,Nice product,Good product,1
467,Don't waste your money,Wrost product,0
468,"Bluetooth issue
","Bluetooth acts weirdly while put in pocket.
",1
470,Moderate,Very bad quality,0
471,Value-for-money,Good,1
472,"Assume
","Worth to price if you get 1100 it was a deal breaker that price and bolt quality was assum
",1
473,Worth the money,Nice,1
474,Highly recommended,Very good product tx filpkad,1
475,Classy product,Nice product,1
476,Terrific purchase,its compolsory needs ventilation otherwise too hot ..if u have ventilation part in your room then go for it n feel like ac cooling using ice cubes in ice chamber.anyway thank u flipu..,1
477,"Thank you boat to make such wonderful device & thank you Amazon to bring such happiness in my home.
","Like- Good looking, Sound quality, comfortable to handle & wearing.Dislikes- Battery back up need to be increased.Atleast minimum 8 to 10 hr.
",1
478,Must buy!,Super,1
479,"wonderful
","Wonderful experience nice headphonesVoice is good along with handling.
",1
480,Good choice,Good,1
481,Terrific purchase,Supar,1
482,Perfect product!,Excellent,1
483,Awesome,Nice,1
485,Must buy!,Very good,1
486,Value-for-money,it's good man. just go for it.,1
487,Wonderful,perfect,1
488,Terrible product,Don't buy,0
489,"Good sound, bad wires, no accessories
","awesome sounds. Found it to be slightly better than the SoundMagic E10C. cx275s has better bass and better sound isolation than e10c. But i hate the wires of the cx275s. Also, i miss the accessories of the e10c.
",1
490,Just wow!,Super,1
491,Excellent,Loved it ..Awesome Product...Must Have .. Easy To Install... GREAT PRODUCT.. MUST BUY,1
492,Must buy!,Good,1
493,Worth every penny,Good one,1
494,Worth the money,Good,1
495,Simply awesome,Very good,1
496,Great product,Good,1
497,Very poor,This product is very very badFabric quality is poor,0
498,Great product,Nice,1
499,"Value for money
","Just got this and I must say that the build quality is great. Coming to the sound it has really good bass. Can't comment of the battery yet as I just got it. I will update the review later after checking the battery backup.Edit: So, after using it for few days, the battery easily lasts for a day and half a per my usage which includes 1-1.5 hrs of music, one movie (1.5-2hrs) and one episode of Tv series (40-50mins). I end a with 40% battery left as per above usage.
",1
500,"nice
","excellent product
",1
501,Wonderful,Nice product I just love it .  I am Happy. Flipkart always gives the best product to their customers . Thank you flipkart. üòäüòäüòäüòÄüòÄüòÄü§óü§óü§óüôÇüôÇüôÇ‚ò∫‚ò∫‚ò∫,1
502,Terrific,Good quality.,1
503,Very Good,Superb,1
504,Waste of money!,Not good,0
505,Fabulous!,Excellent product,1
506,"Product is damaged.
","Left side speaker is not working.
",0
507,Worth every penny,Super product,1
508,Very Good,Good,1
509,Classy product,Good,1
510,Don't waste your money,Sorry,0
511,"Poor sound quality
","The sound quality is horrible, too basy heavy. Connectivity issues are also quite persistent
",0
512,Worth every penny,Good,1
513,Classy product,super product,1
514,"Good Budget Buy
","Sometimes problem with connectivity has been observed but overall a good product
",1
515,Did not meet expectations,Very bad,0
516,Terrific,very good,1
517,Super!,Very nice,1
518,Highly recommended,Ok,1
519,Terrific purchase,good product,1
520,Good choice,Good,1
521,Great product,Good,1
522,"Replace
","We want to replace the product as the product is not working properly and we are facing lot of issues in connecting.
",0
523,Must buy!,Good purchase at this range of price.,1
524,Value-for-money,Value for money,1
526,"Excellent- Must Have
","Excellent bluetooth headphones,Excellent  battery  backup,As mentioned  we can connect  two devices simultaneously.
",1
527,Hated it!,Worst product,0
528,Brilliant,very good,1
529,Worth every penny,Best,1
530,"DISAPPOINTED!!!!!
","Seriously it is not that standard of sound i expected from sennheiser. Very disappointed wned i hear it. You spend 17-18k for obviously better but out there many other company can give you  this or better sound  within half of it's price.It's is totaly my opinion after hearing it. It may vary to other person.
",0
531,Brilliant,Very nice,1
532,Must buy!,Awesome product,1
533,Pretty good,The product is very osm and attractive,1
534,Delightful,Good üëç,1
537,Best in the market!,Good,1
538,Delightful,good,1
539,Just wow!,Good product,1
540,"Five Stars
","The best you can get... I am using Sennheiser from last 4yr and still its my fav.
",1
542,Best in the market!,Good one,1
543,Pretty good,Good,1
546,Great product,Thanks filpkart,1
547,Mind-blowing purchase,"Blanket is nice, gd quality material. Light in weight, bt keeps hot.",1
548,"Sound & Microphone quality is bad, doesn`t live upto Sennheiser brand
","Sound & Microphone quality is bad, doesn`t live upto Sennheiser brand, it`s an entry level headset and can be compared to stock headset which we get with Samsung phones
",0
549,Highly recommended,Good one,1
551,"Great....
","Very nice product... Fully satisfied
",1
552,Highly recommended,NYC,1
554,Not recommended at all,Very bad,0
555,Good quality product,Nice,1
556,Mind-blowing purchase,Satisfied,1
557,"Worst !
","Got this free with Huawei Y9 2019, claimimg that they are 3000 INR earphones. The sound quality is worst with Huawei Y9, Zenfone 3, MI devices. Not even worth 3000 INR but works good with lenovo devices.
",0
559,Terrific,Good,1
560,"Awesome
","Classy. Extension pin, leather cover, perfact packing, great look and design, and music instruments identified clearly in songs... Wow, perfact for me... Thanks
",1
561,Brilliant,Good,1
563,Highly recommended,Very good,1
564,Simply awesome,Nice,1
565,Great product,Supr item paisa vasoolüòç,1
567,Worth every penny,Good,1
568,Highly recommended,Superb,1
569,Nan,Best,1
570,Very Good,Good product,1
571,Perfect product!,Very Good Product..,1
572,Good quality product,Very nice product,1
573,Nice product,NO COMMENTS,1
574,"Good
","Good
",1
575,Highly recommended,Very good,1
576,"Worth it
","Sound quality is very good
",1
577,Just wow!,Perfect,1
579,Really Nice,Good,1
580,"Empty
","Got an empty box!
",0
581,Wonderful,Very Good,1
582,Nice product,Good product,1
583,"Five Stars
","Good sound quality . I am using CX 180 from last  4 year.
",1
584,Perfect product!,Mind blowing,1
585,Pretty good,Good üëç,1
586,Delightful,Ok,1
587,Best in the market!,Good product.,1
588,Highly recommended,Nice products,1
589,Wonderful,Good,1
590,"Bad product don't buy...
","Headphones working stopped after 22 day....Bad quality of headphones...Don't buy from this seller
",0
592,Best in the market!,Very good product for beginners..,1
593,Classy product,Super product,1
594,Awesome,Wonderfull Camera.. Best for Beginners..,1
595,Highly recommended,Execellent,1
597,Terrific,Looking good,1
598,Worth every penny,Good,1
599,Awesome,nice,1
600,Best in the market!,Super,1
601,Good quality product,Worthy,1
602,Good quality product,Nice product,1
603,Perfect product!,Very good product,1
604,Simply awesome,Excellent,1
605,Worthless,Very small size,0
607,Hated it!,Worst,0
609,"dont think just go for this one it will not disappoint you also the service from amazon is nice
","Fantastico!!dont think just go for this one it will not disappoint you also the service from amazon is nice.
",1
610,Really Nice,Super,1
611,Awesome,super,1
612,Awesome,good,1
613,Highly recommended,Nice,1
615,Worthless,nyc,0
616,Delightful,Good,1
617,Worth every penny,Superb,1
618,Good choice,Nice,1
619,Value-for-money,Nice product,1
620,Must buy!,Nice Product,1
621,Wonderful,Nice product,1
