NAME,GP,FGM,FGA,3PA,FTM,FTA,OREB,DREB,AST,TOV,CAREER_5YRS
James Young,31,1,3,2,0,0,0,1,0,0,0
Tim Hardaway,79,5,12,1,2,3,0,3,8,3,1
Tim Hardaway,79,5,12,1,2,3,0,3,8,3,1
J.R. Reid,82,4,9,0,2,3,2,6,1,2,1
Pooh Richardson,82,5,11,1,0,1,0,2,6,1,1
Sherman Douglas,81,5,11,0,2,4,0,1,7,3,1
Sam Mitchell,80,4,10,0,3,4,2,3,1,1,1
Glen Rice,77,6,13,0,1,1,1,3,1,1,1
Glen Rice,77,6,13,0,1,1,1,3,1,1,1
Mookie Blaylock,50,4,11,1,1,1,0,2,4,2,1
Sean Elliott,81,3,8,0,2,2,1,2,1,1,1
Blue Edwards,82,3,6,0,1,2,0,2,1,1,1
Cory Jefferson,50,1,3,0,0,1,0,2,0,0,0
Nick Anderson,81,4,9,0,2,3,1,2,1,1,1
Stacey King,82,3,6,0,2,3,2,2,1,1,1
Dana Barros,81,3,9,2,1,1,0,1,2,1,1
Jeff Martin,69,2,6,0,1,1,1,1,0,0,0
Clifford Robinson,82,3,9,0,1,3,1,2,0,1,1
Winston Bennett,55,2,5,0,1,1,1,1,1,1,0
Chucky Brown,75,2,6,0,1,2,1,2,0,0,1
Michael Ansley,72,3,6,0,2,3,2,2,0,0,0
Todd Lichti,79,3,6,0,1,2,0,1,1,1,1
Noah Vonleh,25,1,3,0,0,1,1,2,0,0,0
B.J. Armstrong,81,2,4,0,0,1,0,1,2,1,1
Terry Davis,63,1,4,0,0,1,1,2,0,1,1
Shawn Kemp,81,2,5,0,1,2,1,2,0,1,1
Tom Hammonds,61,2,4,0,1,1,1,1,0,0,1
Scott Haffner,43,2,5,0,0,0,0,1,1,0,0
Randy White,55,1,4,0,0,1,1,1,0,0,1
Kenny Battle,59,1,2,0,0,1,0,1,0,0,0
Donald Royal,66,1,3,0,2,3,1,1,0,1,1
Michael Carter-Williams,70,6,15,3,3,5,1,4,6,3,0
Delaney Rudd,77,1,3,0,0,0,0,0,2,1,0
John Morton,37,1,4,0,1,1,0,0,1,1,0
Greg Grant,67,1,3,0,0,0,0,0,2,1,1
Doug Roth,42,0,2,0,0,0,1,1,0,0,0
Byron Irvin,50,1,4,0,1,1,0,0,0,0,0
Michael Smith,65,2,4,0,0,1,0,0,1,0,0
George McCloud,44,1,3,0,0,0,0,0,1,0,1
Henry Turner,36,1,3,0,1,1,0,0,0,0,0
Charles Smith,60,1,2,0,0,1,0,0,1,0,1
Charles Smith,60,1,2,0,0,1,0,0,1,0,1
Ed Horton,45,1,3,0,0,1,1,1,0,0,0
Trey Burke,70,4,12,4,1,1,0,2,5,1,0
Frank Kornet,57,0,2,0,0,0,0,0,0,0,0
Doug West,52,1,2,0,0,0,0,0,0,0,1
Adrian Caldwell,51,0,1,0,0,0,0,1,0,0,1
Kenny Payne,35,1,3,0,0,0,0,0,0,0,0
Eric Johnson,48,0,1,0,0,0,0,0,1,0,0
Mike Williams,21,0,0,0,0,0,0,0,0,0,0
Mike Morrison,36,0,1,0,0,0,0,0,0,0,0
Nate Johnston,21,0,2,0,0,0,0,0,0,0,0
Mitch Richmond,79,8,17,1,5,6,2,3,4,3,1
Willie Anderson,81,7,15,0,2,3,1,3,4,3,1
Victor Oladipo,80,4,11,2,3,4,0,3,4,3,0
Hersey Hawkins,79,5,12,2,3,3,0,2,3,2,1
Kevin Edwards,79,5,14,0,1,2,1,2,4,3,1
Grant Long,82,4,8,0,3,5,2,3,1,2,1
Rex Chapman,75,7,16,2,2,2,1,1,2,1,1
Brian Shaw,82,3,8,0,1,1,1,3,5,2,1
Chris Morris,76,5,11,2,2,3,2,2,1,2,1
Gary Grant,71,5,11,0,1,2,1,2,7,3,1
Vernon Maxwell,79,4,10,1,2,3,0,1,3,2,1
Ben McLemore,82,3,8,3,1,1,0,2,1,1,0
Dan Majerle,54,3,8,1,1,2,1,2,2,0,1
Sylvester Gray,55,3,7,0,1,2,2,3,2,1,0
Ricky Berry,64,4,8,2,2,2,0,2,1,1,0
Tom Garrick,71,2,5,0,1,1,0,1,3,1,0
Michael Anderson,36,2,4,0,1,2,1,1,4,2,0
Vinny Del Negro,80,3,6,0,1,1,0,1,2,1,1
Kelvin Upshaw,32,3,6,0,0,0,0,1,3,1,0
Derrick Chievous,81,3,7,0,2,3,1,1,1,1,0
Ledell Eackles,80,4,9,0,3,4,1,1,1,1,1
Harvey Grant,71,2,5,0,0,0,1,1,1,0,1
Rod Strickland,81,3,7,0,2,2,0,1,3,1,1
Scott Brooks,82,1,4,1,0,0,0,0,3,0,1
Todd Mitchell,24,1,4,0,1,2,0,1,0,1,0
John Shasky,65,1,3,0,1,2,1,2,0,0,0
Mark Bryant,56,2,4,0,0,1,1,2,0,0,1
Shelton Jones,51,1,4,0,1,1,0,1,0,0,0
Eric Leckner,75,1,2,0,1,1,0,2,0,0,1
Jerome Lane,54,2,4,0,0,2,1,2,1,0,1
Tim Perry,62,1,3,0,0,1,1,1,0,0,1
Jim Les,82,0,1,0,0,0,0,0,2,1,1
Craig Neal,53,0,2,0,0,0,0,0,2,1,0
David Rivers,47,1,2,0,0,0,0,0,2,1,0
John Starks,36,1,3,0,0,1,0,0,0,1,1
Andrew Lang,62,1,1,0,0,1,0,1,0,0,1
Bill Jones,37,1,2,0,0,1,0,0,0,0,0
Charles Shackleford,60,1,2,0,0,0,0,1,0,0,1
Morlon Wiley,51,0,2,0,0,0,0,0,1,0,1
Randolph Keys,42,1,4,0,0,0,0,0,0,0,1
Mark Davis,33,1,3,0,0,1,0,0,0,0,1
Mark Davis,33,1,3,0,0,1,0,0,0,0,1
Troy Williams,24,2,5,1,0,1,0,1,0,1,0
Hollis Thompson,77,2,4,2,0,0,0,2,0,0,0
Ron Grandison,72,0,2,0,0,1,0,0,0,0,0
Micheal Williams,49,1,2,0,0,1,0,0,1,0,1
Anthony Frederick,46,1,2,0,0,0,0,0,0,0,0
Avery Johnson,43,0,1,0,0,0,0,0,1,0,1
Everette Stephens,35,0,2,0,0,0,0,0,1,0,0
Jack Haley,51,0,1,0,0,0,0,1,0,0,1
Duane Ferrell,41,0,2,0,0,1,0,0,0,0,1
Mark Jackson,82,5,12,1,2,3,1,3,10,3,1
Kenny Smith,61,5,11,0,2,3,0,1,7,3,1
Nate Wolters,58,2,6,1,1,1,0,2,3,1,0
Armen Gilliam,55,6,13,0,2,3,2,5,1,2,1
Winston Garland,67,5,11,0,2,2,1,2,6,2,1
Joe Wolf,42,3,8,0,1,1,1,3,2,1,1
Reggie Williams,35,4,12,1,1,1,1,1,1,1,1
Reggie Williams,35,4,12,1,1,1,1,1,1,1,1
Greg Anderson,82,4,9,0,2,4,2,4,1,1,1
Kevin Johnson,80,3,7,0,2,2,0,1,5,1,1
Horace Grant,81,3,6,0,1,2,1,3,1,1,1
Reggie Miller,82,3,7,2,1,2,1,1,1,1,1
Dennis Hopson,61,3,9,0,2,2,1,1,1,1,1
Ken Norman,66,3,7,0,1,2,1,2,1,1,1
Ryan Kelly,59,2,6,2,1,2,0,3,1,0,0
Scottie Pippen,79,3,7,0,1,2,1,2,2,1,1
Derrick McKey,82,3,6,0,2,2,1,2,1,1,1
Muggsy Bogues,79,2,5,0,0,0,0,1,5,1,1
Tellis Frank,78,3,7,0,1,2,1,3,1,1,1
Ricky Wilson,24,1,4,1,1,1,0,1,2,1,0
Dave Hoppen,39,2,4,0,1,1,1,3,0,0,1
Dallas Comegys,75,2,4,0,1,2,0,2,0,1,0
Mark Acres,79,1,2,0,0,1,1,2,0,0,1
Michael Jackson,58,1,2,0,0,0,0,0,3,1,0
Tony White,49,2,5,0,0,1,0,0,1,1,0
Brad Lohaus,70,1,3,0,0,0,0,1,0,0,1
Milt Wagner,40,1,3,0,0,0,0,0,1,0,0
Chris Dudley,55,1,2,0,0,1,1,1,0,0,1
Clinton Wheeler,59,1,2,0,0,0,0,0,1,0,0
Billy Donovan,44,1,2,0,0,0,0,0,2,0,0
Reggie Lewis,49,1,3,0,0,1,0,0,0,0,1
Martin Nessley,44,0,1,0,0,0,0,1,0,0,0
John Stroeder,41,0,1,0,0,0,0,1,0,0,0
Bart Kofoed,36,0,1,0,0,0,0,0,0,0,1
Ray McCallum,45,2,6,1,0,1,0,1,2,0,0
Ralph Lewis,50,0,1,0,0,1,0,0,0,0,0
Ron Harper,82,9,19,1,4,6,2,2,4,4,1
Chuck Person,82,7,16,1,2,3,2,6,3,2,1
Hot Rod Williams,80,5,11,0,3,5,2,5,1,1,1
Brad Daugherty,80,6,11,0,3,5,1,6,3,3,1
Nate McMillan,71,2,4,0,1,2,1,3,8,2,1
Kenny Walker,68,4,8,0,2,2,1,3,1,1,1
Walter Berry,63,6,12,0,3,4,2,2,1,2,0
John Williams,78,3,8,0,1,2,1,3,2,1,1
Kentavious Caldwell-Pope,80,2,5,2,0,0,0,1,0,0,0
Brad Sellers,80,3,7,0,1,2,1,2,1,1,1
David Wingate,77,3,7,0,1,2,0,1,2,1,1
Johnny Dawkins,81,4,9,0,1,2,0,1,3,1,1
William Bedford,50,2,7,0,1,1,1,3,1,1,1
Jeff Hornacek,80,2,4,0,1,1,0,1,4,1,1
Roy Tarpley,75,3,6,0,1,1,2,4,0,1,1
Mark Price,67,2,6,1,1,1,0,1,3,1,1
John Salley,82,2,3,0,1,2,1,2,0,0,1
Mark Alarie,64,3,6,0,1,1,1,2,1,0,1
Ben Coleman,68,2,4,0,1,1,1,2,0,1,1
Dennis Rodman,77,2,5,0,1,1,2,2,0,1,1
Larry Krystkowiak,68,2,5,0,1,2,1,2,1,1,1
Kenny Gattison,77,1,4,0,1,2,1,2,0,1,1
Tim Kempton,66,1,3,0,1,2,1,1,0,0,1
Harold Pressley,67,2,4,0,0,0,1,1,1,0,0
Kevin Duckworth,65,2,4,0,1,2,1,2,0,1,1
Anthony Jones,65,2,5,0,0,1,0,1,1,0,0
Mike Brown,62,1,3,0,0,1,1,2,0,0,1
Grant Gondrezick,64,2,4,0,1,1,0,1,1,0,0
Billy Thompson,59,2,4,0,0,1,1,1,1,1,1
Mason Plumlee,70,2,4,0,1,2,1,3,0,1,0
Rafael Addison,62,2,5,0,0,1,0,1,0,0,1
Chris Washburn,35,1,4,0,0,1,1,1,0,1,0
Keith Smith,42,1,3,0,0,0,0,0,1,0,0
Johnny Newman,59,1,4,0,1,1,0,0,0,0,1
Johnny Rogers,45,2,4,0,0,0,0,1,0,0,0
Dell Curry,67,2,4,0,0,0,0,0,0,0,1
Buck Johnson,60,1,3,0,0,1,0,0,0,0,1
Clinton Smith,41,1,2,0,0,0,0,0,1,0,0
Dave Feitl,62,1,3,0,0,1,0,1,0,0,1
Bob Martin,43,1,3,0,1,1,0,0,0,0,0
Conner Henry,54,0,2,0,0,0,0,0,0,0,0
Patrick Ewing,50,7,16,0,4,6,2,6,2,3,0
Xavier McDaniel,82,7,14,0,3,4,3,4,2,3,1
Karl Malone,81,6,12,0,2,5,2,6,2,3,1
Wayman Tisdale,81,6,12,0,2,2,2,4,1,2,1
Benoit Benjamin,79,4,8,0,2,3,2,5,1,1,1
Chris Mullin,55,5,11,0,3,3,0,1,1,1,1
Gerald Wilkins,81,5,11,0,1,2,1,1,2,1,1
Joe Dumars,82,3,7,0,2,2,0,0,4,1,1
Cody Zeller,82,2,4,0,1,2,1,2,1,1,0
Charles Oakley,77,3,7,0,2,3,3,5,1,2,1
Jon Koncak,82,3,6,0,1,3,2,3,0,1,1
Keith Lee,58,3,6,0,1,1,2,4,1,1,0
Ed Pinckney,80,3,5,0,2,3,1,2,1,1,1
A.C. Green,82,2,4,0,1,2,2,2,0,1,1
Bob Thornton,71,1,3,0,1,2,1,2,0,1,1
Terry Catledge,64,3,6,0,1,2,1,2,0,1,1
Spud Webb,79,2,5,0,2,3,0,1,4,2,1
Terry Porter,79,2,5,0,1,2,0,1,2,1,1
Marquese Chriss,34,2,6,2,1,1,1,2,0,1,0
Nick Calathes,71,2,4,0,0,1,0,1,2,1,0
Carey Scurry,78,1,3,0,1,1,1,1,1,1,0
Dirk Minniefield,76,2,4,0,1,1,0,1,3,1,0
Joe Kleine,80,2,4,0,1,1,1,3,0,1,1
Alfredrick Hughes,68,2,5,0,0,1,0,0,0,0,0
Ken Johnson,64,1,3,0,0,1,1,2,0,0,0
Ken Johnson,64,1,3,0,0,1,1,2,0,0,0
Pete Williams,53,1,2,0,0,0,0,1,0,0,0
Bill Martin,66,2,4,0,0,0,0,0,0,0,0
Tony Snell,77,1,4,2,0,0,0,1,0,0,0
Fred Cofield,45,1,4,0,0,0,0,0,1,1,0
Dwayne McClain,45,1,4,0,0,0,0,0,1,0,0
John Battle,64,1,3,0,1,1,0,0,1,0,1
Jerry Reynolds,55,1,2,0,1,1,0,0,1,0,1
Steve Harris,57,1,4,0,0,0,0,0,0,0,1
Lorenzo Charles,36,1,2,0,0,1,0,0,0,0,0
Sam Vincent,57,1,2,0,1,1,0,0,1,0,1
Blair Rasmussen,48,1,3,0,0,0,0,1,0,0,1
Phil Pressey,75,1,3,1,0,0,0,1,3,1,0
Michael Jordan,82,10,19,0,7,9,2,4,5,3,1
Vern Fleming,80,5,11,0,3,4,1,2,3,2,1
Sam Bowie,76,3,7,0,2,3,2,5,2,2,1
Charles Barkley,82,5,9,0,3,4,3,5,1,2,1
Sam Perkins,82,4,9,0,2,3,2,5,1,1,1
Jay Humphries,80,3,7,0,1,2,0,1,4,2,1
Melvin Turpin,79,4,9,0,1,1,2,3,0,1,1
Otis Thorpe,82,5,8,0,2,4,2,4,1,2,1
Kevin Willis,82,3,8,0,1,2,2,4,0,1,1
Michael Cage,75,2,5,0,1,1,1,3,0,1,1
Alvin Robertson,79,3,7,0,1,2,1,1,3,2,1
Tim McCormick,79,3,6,0,2,3,1,3,1,1,1
Charles Jones,78,3,5,0,2,3,1,3,1,1,0
Charles Jones,78,3,5,0,2,3,1,3,1,1,0
Jeff Turner,72,2,5,0,1,1,1,1,1,1,1
Tony Brown,82,2,5,0,1,2,1,1,1,1,1
Antoine Carr,62,3,6,0,1,2,1,2,1,1,1
Steve Colter,78,2,6,0,1,1,0,1,3,1,1
Ken Bannister,75,2,5,0,1,2,1,3,0,1,1
John Stockton,82,1,4,0,1,2,0,1,5,1,1
Terence Stansbury,74,2,6,0,1,1,0,1,1,1,0
Othell Wilson,74,1,3,0,0,1,0,1,2,1,0
Eddie Lee Wilkins,54,2,4,0,1,2,1,3,0,1,1
Chuck Aleksinas,74,2,4,0,0,1,1,2,0,1,0
Ron Anderson,36,2,5,0,1,1,1,1,0,0,1
Frank Brickowski,78,1,3,0,1,1,1,2,1,1,1
Ozell Jones,67,1,2,0,0,1,1,2,0,0,0
Devin Durrant,59,1,4,0,1,1,0,1,1,1,0
Jerome Kersey,77,2,4,0,1,2,1,1,0,0,1
Ron Cavenall,53,0,1,0,0,0,1,2,0,0,0
Jim Petersen,60,1,2,0,0,1,0,1,0,1,1
Tony Campbell,56,2,4,0,1,1,0,0,0,1,1
Lancaster Gordon,63,1,4,0,0,0,0,0,1,1,0
Gary Plummer,66,1,3,0,1,1,0,1,0,0,0
Kenny Fields,51,1,3,0,0,0,0,0,0,0,0
Cory Blackwell,60,1,4,0,0,0,0,0,0,0,0
Bernard Thompson,59,1,3,0,0,0,0,0,0,0,1
Peter Thibeaux,51,1,3,0,0,1,0,0,0,0,0
Steve Burtt,47,1,4,0,1,1,0,0,0,0,0
Leon Wood,38,1,3,0,0,0,0,0,1,0,1
Charlie Sitton,43,0,2,0,0,0,0,0,0,0,0
Tom Scheffler,39,0,1,0,0,0,0,1,0,0,0
Willie White,39,1,3,0,0,0,0,0,0,0,0
Rick Carlisle,38,0,1,0,0,0,0,0,0,0,1
Ralph Sampson,82,8,16,0,3,5,3,7,2,3,1
Steve Stipanovich,81,4,10,0,2,3,1,5,2,2,1
Ennis Whatley,80,3,7,0,1,2,0,1,8,3,1
Rodney McCray,79,4,8,0,2,3,2,3,2,1,1
Anthony Bonner,52,1,4,1,0,1,0,2,0,0,1
Mitchell Wiggins,82,4,10,0,2,3,1,2,2,1,1
Thurl Bailey,81,3,7,0,1,1,1,4,1,1,1
Jeff Malone,81,5,11,0,1,2,0,1,1,1,1
Doc Rivers,81,3,6,0,3,4,0,1,3,2,1
Roy Hinson,80,2,4,0,0,1,2,4,0,1,1
Byron Scott,74,4,9,0,1,1,0,1,2,1,1
Paul Thompson,82,3,8,0,1,1,1,2,1,0,0
Derek Harper,82,2,5,0,0,1,0,1,2,1,1
Fred Roberts,79,2,5,0,1,2,1,2,1,1,1
Rod Foster,80,3,7,1,1,1,0,1,2,1,0
Dewayne Dedmon,31,1,2,0,0,1,1,2,0,0,0
Jon Sundvold,73,3,6,0,0,1,0,0,3,1,1
Clyde Drexler,82,3,6,0,1,2,1,1,1,1,1
Jim Thomas,72,2,5,0,1,1,0,1,1,1,0
Darrell Walker,82,2,6,0,2,3,0,1,3,2,1
Sidney Lowe,78,1,3,0,1,1,0,1,3,1,0
Dale Ellis,67,3,7,0,1,1,1,2,0,1,1
Darren Daye,75,2,5,0,1,1,1,1,2,1,1
Randy Wittman,78,2,4,0,0,0,0,0,0,0,1
Sidney Green,49,2,4,0,1,1,1,2,0,1,1
Granville Waiters,78,1,3,0,0,0,0,2,0,0,1
C.J. McCollum,38,1,4,2,0,0,0,1,0,0,0
Howard Carter,55,2,5,0,0,1,0,0,1,0,0
Dane Suttle,40,2,5,0,1,1,0,0,1,0,0
Scooter McCray,47,1,2,0,0,1,1,1,0,0,0
Sedale Threatt,45,1,3,0,0,0,0,0,0,0,1
John Paxson,49,1,2,0,0,0,0,0,3,0,1
Leroy Combs,48,1,3,0,1,1,0,0,0,1,0
Larry Micheaux,39,1,2,0,0,1,1,1,0,0,0
Randy Breuer,57,1,3,0,0,0,0,1,0,0,1
Pace Mannion,57,0,2,0,0,0,0,0,0,0,1
Kris Dunn,33,1,4,0,0,1,0,1,2,1,0
Robbie Hummel,53,1,3,1,0,0,0,1,0,0,0
Bruce Kuczenski,15,0,2,0,0,0,0,1,0,1,0
Russell Cross,45,1,2,0,0,2,0,1,0,0,0
Bob Hansen,55,1,2,0,0,0,0,0,0,0,1
Greg Kite,35,0,1,0,0,0,0,1,0,0,1
Terry Cummings,70,9,18,0,4,5,4,6,2,2,1
Clark Kellogg,81,8,17,0,3,4,4,6,2,2,1
Quintin Dailey,76,6,13,0,2,3,1,2,3,2,1
Rod Higgins,82,3,8,0,2,3,1,2,2,1,1
Craig Hodges,76,4,9,1,1,1,0,0,3,2,1
Jeff Withey,58,1,2,0,0,1,0,1,0,0,0
James Worthy,77,5,10,0,1,2,2,3,1,2,1
Trent Tucker,78,3,8,0,0,0,1,1,2,0,1
Terry Teagle,73,4,10,0,1,1,1,1,2,1,1
Marc Iavaroni,80,2,4,0,1,1,1,2,1,1,1
Ed Nealy,82,1,3,0,0,1,2,3,0,0,1
Rob Williams,74,2,6,0,1,2,0,1,4,2,0
Jerry Eaves,82,3,7,0,2,3,0,1,2,1,0
Paul Pressey,79,2,5,0,1,2,1,2,2,2,1
Brandon Davies,51,1,2,0,0,1,0,1,0,0,0
Lester Conner,75,1,4,0,1,1,0,2,3,1,1
Mark Eaton,81,1,4,0,0,1,1,4,1,1,1
Bill Garnett,75,2,4,0,1,2,1,3,1,1,0
Jeff Taylor,44,1,3,0,0,1,0,1,2,1,0
Bryan Warrick,43,1,4,0,1,1,0,1,2,1,0
Sleepy Floyd,76,3,6,0,2,2,0,1,1,1,1
Richard Anderson,78,2,5,0,0,0,1,2,1,1,1
Russ Schoene,77,2,5,0,0,1,1,2,0,1,0
John Bagley,68,2,5,0,0,1,0,1,2,1,1
Archie Goodwin,52,1,3,0,0,1,0,1,0,0,0
Cliff Levingston,62,2,4,0,1,2,1,2,0,1,1
LaSalle Thompson,71,2,4,0,1,1,1,3,0,1,1
Bruce Flowers,53,2,3,0,0,1,1,2,0,0,0
Corny Thompson,44,1,3,0,0,1,0,1,0,0,0
Walker Russell,68,1,2,0,0,0,0,0,1,1,1
Walker Russell,68,1,2,0,0,0,0,0,1,1,1
David Thirdkill,49,1,3,0,0,1,0,0,0,1,1
Dave Batton,54,1,3,0,0,0,0,1,0,0,0
Darren Tillis,52,1,3,0,0,0,0,1,0,0,0
Brook Steppe,62,1,2,0,1,1,0,0,1,0,1
Rory White,65,2,3,0,1,1,0,0,0,0,1
Andre Roberson,40,0,1,0,0,0,0,1,0,0,0
Linton Townes,55,1,4,0,0,0,0,0,0,0,0
Eddie Phillips,48,1,2,0,0,1,0,1,0,1,0
Jim Johnstone,23,0,1,0,0,0,0,1,0,0,0
Jose Slaughter,63,1,3,0,0,0,0,0,0,0,0
