,Id,Text,Score
36,120884,"I really like bold full flavored coffee without bitterness or too much acidity.  I wouldn't call myself a coffee aficionado but I do know what I like.  I own two French presses, an Aeropress, several drip machines, and a moka pot.  All are great but I love the ease of using my Keurig. After purchasing it last year I have probably tried 20 or 25 different k-cups.  For a while I really liked the Donut Shop by Coffee People.  But I grew tired of it.  It's great when it's hot but not so much when it cools off a bit.  Some of the other full bodied cups tend to be very bitter.  The Black Tiger, Jet Fuel, Wake Up Call, Newman's Extra Bold, etc. all can be good but not great.  I had pretty much decided that given the convenience of the Keurig machine I would have to sacrifice a bit on taste.  Then I stumbled on Diedrich's Sumatra and I'm hooked.  This is the one you want to buy in bulk and keep in the pantry.  It's a very good Sumatra blend that is great hot or even just slightly warm.  It's never bitter and very smooth.  It has that classic chocolate Sumatra flavor.  For me this is the only k-cup I've found to be consistent time after time.  I'm on my fourth box already.",5
37,124399,This is my every-morning coffee!  I really enjoy it.  I drink it black which is very strong.  Other people in my household did not care for how strong it was.  So just know you need to like a dark strong coffee to enjoy this one.  :)  enjoy!,5
38,126177,"This 50 pack was only a 42 pack in my order. When I noticed pack was only half full upon opening, I counted and box WAS short.",2
39,126313,The product contains cottonseed oil which is almost certainly genetically modified. I won't eat them because of that likelihood.,1
40,126500,"corn pasta is very good, no different taste from regular pasta and is very healthy. It is good for people on diets.<br /><br />thanks",5
41,131346,"I wish my girls liked this one.  We have the Ernie and Cookie Monster ones and they love those.  I can't ""trick"" either of them into eating this one because it's so sour.  I've tried it too.  Won't be reordering this kind.  The others are great!",3
42,137381,"These are durable chews. I'm not entirely sure they're helping our dog's teeth but he likes them. My complaints are 1) the sizes (thickness, length) can vary greatly and 2) the odor can be a overwhelming. Sometimes it seems like I've stuck my nose in a bag of soured beef bouillon.",3
43,138295,"I love these little wafer cookies. They are wonderful. Great flavor, delicate crunch, and knowing that it's natural and nothing in it is genetically modified makes snacking feel better.",5
44,138578,I love mango and I love Hi-chews!  This product arrived to me very fresh and fresh sealed in plastic.  The expiration date was also good for about a year.  I recommend!,5
45,140202,"Unfortunately, my cats are not fans of the sardine and mackerel pack. The sardine & mackerel has actual chunks of fish, but it seems the cats prefer the flaked tuna and the tuna and whitefish. Amazon sells a tuna-only version of this item, so I decided to stick to what my cats like and keep the tuna-only dinner.<br /><br />The price is comparable to what you will find at your local Wal-Mart. With the added convenience of home delivery with Subscribe and Save, this is a good deal if your cats like the sardine/mackerel dinner.",4
46,141108,"As far as I know Ovaltine is a great product with all kinds of nutrients, but the price offered on Amazon is absurd.  Locally, I don't spend more than four dollars per 12 oz. container and Amazon wants you to pay more than double that in a pack of four!!! Even the 3-pack 18 oz container is way overpriced.  What's the deal?",1
47,141955,"I have a bad image of flavored coffees because, so often, tons of artificial flavor is used to cover up bad coffee and sell it as ""premium"".  This coffee is better than that.<br /><br />This Starbucks Natural Fusions (Vanilla) is decent coffee, with a modest amount of natural vanilla and sarsaparilla flavor added.  The result is more balanced and drinkable.<br /><br />- The grind: not as uniform as some pre-ground brands (Melitta).  It left considerable dust on my hands.  Minus one star.<br /><br />- Freshness: no noticeable staleness.  Smells good but not as sweet as freshly roasted coffee, of course.<br /><br />- Packaging:  Easy to open, easy to reclose.  Was shipped with minimal air space.<br /><br />Verdict: The best pre-ground, flavored coffee I've tried, only loses a star for a non-uniform grind.  It just tastes good, and I'm not a big flavored coffee fan.",4
48,142290,"Better than rice cakes. Low calorie count adds substance to meals or snacks.in addition has great taste.unfortunately,cannot be a substitute for rye bread with corned beef",4
49,147146,"First time you try this product, you will understand that regular soy sauce and especially salt do not belong to your table anymore. It has much cleaner and lighter taste than soy sauce, and organic freshness is simply incredible comparing to the inorganic salt. I've forgotten when I used the either one of those...",5
50,147177,"I guess NongShim made this as export version as they do with many many other noodle products.<br />Usually they are much less spicy.<br />And this is the same.<br />When I opened this bag, it was yellow, not red at all.<br />Original Korean version of this snack is much more red in color and has very nice spicy taste.<br />But this barely has any spicy to it if not at all.<br />Well, I couldn't taste any spicy at all, seriously AT ALL.<br />If you have Korean supermarket nearby, go buy one from there and compare yourself.<br />My non-Korean husband agrees with me one this so...",3
51,150766,"Received a sample box of Ahmad English Tea in a Christmas gift basket.  When it was gone, ordered a box of 100 tea bags.  This is a nice dark and hearty tea.  And it's from England. Excellent either in the morning or for late afternoon on a winter day. Though with the shipping fee it's a bit expensive, it is worth it.  Now one of my favorite teas.  Will order again.",4
52,154141,Dirty Sue is an excellent alternative to draining olive jars. It has a good taste and there are no longer several jars of olives without juice sitting in my refrigerator.,5
53,163527,Did not like the taste and neither did anyone else that tried it. A complete waste of money. Take my advice and buy something like manure water instead.,2
54,165629,"Canidae was the best food for my lab for the last 5 years until they changed the formula in June.  OMG...what a disaster from the very first bowl with the new formula(which I did mix with some of the old stuff to transition him).  I'm so disappointed...and no notice on the bag about the new formulation????  The old stuff worked GREAT, but I'm sure to save a few bucks, they've changed to cheaper ingredients.  Well I'm DONE.  My dog has had the worst gas and runny stools.  I now need to find a food that he can handle which is not an easy task since he's got skin allergies...and I won't buy just anything...it's got to be topnotch.  Canidae was ideal with the old formula...not so anymore...  Any suggestions out there on what I can transition to???",1
55,169398,The picture makes you think it's the original chocolate Twizzlers but they are actually the new disgusting recipe with the real Hershey's chocolate.  Don't be fooled by the picture!!!,1
56,174386,"not crazy about the idea of not being from US didn't find out until I received them.  Don't think I'd buy again.  I use lots of herbs, but this is not a very good use of them a little to much of everything.",3
57,174549,"Not much to say really, just that these are awesome! They are just like the original, but over 2"" tall! AWESOME!!!",5
58,175383,"My younger dog has gotten bored lately, and chewing anything she can get ahold of in our shed.  I went out last night in an attempt to find something that will keep her occupied.  For $20 I bought this, took it home and had hope for about 7 minutes.  She got the treat out, and I messed up by pushing it in too hard, and getting it stuck in between the 2 sides.  (In theory, this was the most amount of time the toy went without having the treat popped out.)  After she licked at that for a while, I was able to push the treat out and get it back to the place that it belonged.  Pop. Pop. Pop.  She is now a pro treat grabber, who can get these everlasting discs out within 3 seconds flat. 2 if you don't count the time she sniffed at it.  Now I have a $20 ball to play fetch with.",1
59,185301,"Why do you want apricot kernels? If you want to lower your blood pressure, have a healthy snack... Swanson kernels are fine for that. If you want kernels to treat cancer you need Apricot Power kernels. Apricot Power kernels are very bitter compared to Swanson's.",5
60,188478,When buting this item it said nothing about being artifically favored i thought i was buying pure vanilla syrup used in ice cream stores to make milk shakes very disapointed never again!!!!!,3
61,190279,Bought a box of Neuhaus sommelier collection chocolates for a special occasion on a trip through Brussels Duty Free.  When I opened the box I discovered that there were two empty spots in the box!  My husband and I tried two different types of the remaining 14 and were terribly dissappointed in the taste of the chocolate as well.  If you want to purchase chocolates try Godiva!,1
62,192347,"We've had our Kuering machine for over a year now.  We love it.  However, we've had a problem finding BOLD coffee.  Emeril's is very tasty and bold.  While it's not our favorite, it is up there at the top.  Sign up for Amazon's club and save money and postage.  You'll enjoy a very good cup of coffee at a very reasonable price.",4
63,194151,"The candy tasted great, but I had to throw many away because they oozed out of their wrappers and stuck to each other.",2
64,196753,kind bar satisfy's the chocolate craving and also has antioxidants.  Great as a breakfast bar and also tastes good.  My kids like it too.,4
65,207660,"I usually don't write reviews much but I really felt that I need to for this particular tea. I absolutely dislike it and it smells quite bad. I thought I'd try to finish the package anyway but now that it's sitting in my office, I realize that I cannot stand the smell of this tea AT ALL. So the rest of the box (almost full) will have to go into the trash.",1
66,208776,"i received my 6 tubs of peanuts today, and the containers and packaging were more than satisfactory. i wish i could say the same for the peanuts.<br /><br />they taste funny...and greasy and half raw. and, i can't return the unopened tubs. so i guess i'll have to boil them to get the oil off then mix them into oatmeal or cottage cheese to disguise the off-taste,<br /><br />or maybe i'll just feed them to the squirrels.",1
67,211623,"Awesome bread crumbs for chicken, beef and pork chops.  Dip in egg then in<br />bread crumbs-put in baking pan add butter and bake.  GREAT",5
68,215102,"The price from 911drugstore is crazy!  If you buy the spinach, mango and pear one, which amazon itself sells, it is half the price (see link) of 911drugstore and about twice what you'd pay retail.  Don't buy from this company. They are price gouging.<br /><br />That said, all of this band of baby food that I've tried are great.  I don't even use a spoon, my son likes to just suck it right out of the tube and has been since he was 7months old.  Great for road trips or just being on the go<a href=""http://www.amazon.com/gp/product/B0030VJ8PE"">HAPPYBABY Organic Baby Food, Stage 2, Spinach, Mango & Pear, 3.5 Ounce Pouch (Pack of 16)</a>",1
69,219041,"The description of this item is utterly misleading. The Web page lists the shipping weight at 1 lb, yet what one receives for $21 is 7 ounces of cookies. This is misrepresentation and a ripoff. The merchant did not respond to my complaint.",1
70,225592,"Product was shipped a little slow, also ordered the coffee maker @ the same time--which arrived 5 days  before the coffee did.<br />Product did not taste as good as our previous brand (Maxwell house/Hazelnut) or I would nave given a higher rating.<br />I will try another flavor, since this is a good value @ 21.00 for 50 K-cups.",3
71,229129,"I didn't care for this.  It is bitter tasting.  Don't recommend it.  However, I love the regular Millstone 100% Columbian Coffee.  I think that is the best caffeinated coffee I have tasted.  It is not bitter and is full bodied.  Really good.",2
72,233308,"I like the coffee ok, although I must say it doesn't have much of a hazelnut flavor.",4
73,243588,"I saw that these cookies were made by Nabisco, so I figured they would be nice to keep on hand as a snack. Figured they would be similar to a Chips Ahoy cookie, also made by Nabisco.  I loved the fact that these are single serve packs, keeping them fresh, and couldn't wait for them to arrive. I was excited when then arrived...that is until I actually tried them.  AWFUL is the only word I know to describe them. These have absolutely no flavor, few chips, and the chips that they do have don't even taste like a chocolate chip...maybe the really cheap imitation chocolate chips you sometimes see at the dollar type stores. If I was to put flour in a bowl, add a little sugar, and a few imitation chocolate bits, it would probably taste something similar to these cookies. I usually don't mind the bargain cookies in the stores, but these Nabisco cookies are so tasteless and bad that I did not even finish the first cookie out of the single serving pack. Cancelled my subscription and will be throwing the rest away...not even worth donating to someplace. My advice, save yourself a few dollars and do not buy these.  I could not be more disappointed in Nabisco for making such a poor quality, tasteless cookie.",1
74,245559,"I was looking for custard powder which would be the equivalent of South African Moirs brand and someone suggested this. It was ok but tasted a little ""powdery"" compared to Moirs.",3
75,248082,This brand is excellent and the plums are delicious and moist.  We will only eat organic produce.  This is our first order from Amazon because of the great price.,5
76,248284,My boyfriend had a sweet tooth when growing up and this candy took him back to his childhood. The candies were fresh and the service really fast!!,5
77,255377,"I thought this would be spicy, and coming from someone who eats spicy food all the time and fire sauce on his burritos, this is really only mild. This does not make your nose run, or make your throat burn, ears tingle, which is the funnest part of eating spicy food. Spicy food containing cayenne pepper is very healthy for you and is great for colds and sore throats. With a name like Flaming Buffalo with fire coming out of the name I had high hopes...and sadly this does not live up to the hype in the heat department. It still tastes good. The flavor lingers in your mouth making you reach for another one, after 6-8 pieces or so you get a salty taste that makes you reach for water. I give this 3 stars for taste and convenience. Just in case you don't eat it all in one sitting, the bag contains a zip-lock storage to keep things sealed. It will last 3 days after opening without refrigeration.",3
78,256860,"It says that you will receive two 8oz packages of these.<br />I only recieved a box with one 8oz bag. They're good quality :), but they lie and don't tell the truth about what your getting.",1
79,258139,My dog and Puppy love it. A small amount goes a long way. ( follow directions will keep it under control),5
80,258849,"Unless you're starving on the verge of death, no person should consume this.  The salt content alone is more than you need over 2 days, and there's almost no nutritional value.  With cheap packaged products such as these, it's no wonder we're one of the most unhealthy/overweight nations.  Instead make a bowl of real rice, add chicken/vegetables etc. and you'll be 100x better off than buying this.",1
81,262607,I ordered these thinking I would get the all natural brand name cheetos. I received crappy Wise brand greasy cheese poops.,1
82,263361,"This is<a href=""http://www.amazon.com/gp/product/B00014JNI0"">YS Organic Bee Farms CERTIFIED ORGANIC RAW HONEY 100% CERTIFIED ORGANIC HONEY Raw, Unprocessed, Unpasteurized - Kosher 32oz</a> the best honey I have ever purchased. I had been buying my organic raw honey from a different source but now I will purchase from this supplier from now on.",5
83,263971,"I am no expert in cooking or baking supplies, but this marzipan is really good! Soft and moist and absolutely delightful in taste. Not too sweet nor too bland - 380 Calories per bar (220 fat calories).",5
84,268190,"I am a big fan of the 18 Rabbits chocolate cherry granola bars, which is why I ordered the apricot ones.  Sadly, there is no comparison.  These were flavorless, not a hint of apricot or any other ingredient.  I was disappointed and will not buy this flavor again.",2
85,268895,"The new price is very attractive. However, it tastes horrible. Maybe if you haven't had the old Zico, or any other of the coconut water brands you might find it acceptable.",1
86,272134,"Though the product itself is just fine, the packaging was obviously a problem.  Two cups were damaged, one with a crushed rim and side, while the other had loose foil and no coffee.  At the price per K-cup, it's a loss to have two damaged and no way to recover the loss.",3
87,274219,"Bought these for a gift for my mother.  She is very pleased with the quantity, quality and presentation of the jelly.  You can find cheaper preserves-but if you are looking for nicer packaging this is a nice choice.  Jars are reusable and very nice.",4
88,275444,"There are several things a coffee lover looks for in their brew.. the aroma, the color and the taste are what I look for. When I opened the individual pack, I was hit with a wonderful coffee scent.  The pod looks typical, and are made for a pod machine.  When I made my first cup, since the aroma was strong, I filled the machine with a good sized mug's worth of water, and made a cup.  When it was done, the color was fairly light, so I only added a small amount of milk.  Still, the flavor was a bit too bland for me, and I like a mild coffee.  For the second cup, I used a smaller mug, and in return got a darker, more flavorful cup, so that is my recommendation with this brand.  Some other things I love about this brand:  it's organic, sustainably grown and Fair Trade certified. That's a lot of benefits for only about 75 cents a cup.  The even have their own foundation to support youth soccer programs.  This is a good deal.  The only thing that I would change is the individual wrap, which seems like an excess of packaging for a company dedicated to the environment.",4
89,275801,"Contrary to what it says on the headline, this is not a light food.  This is confirmed with the picture that is listed next to the headline, but most people would go by the headline.",3
90,276534,"I don't understand how anybody could think that these are too sweet or too spicy. There is absolutely no sweet or spicy taste.<br /><br />I bought them in hopes I could make a quick side dish that resembled sweet potato casserole. Prepared exactly per directions. They were bland, sticky, and had terrible after taste. They tased like cardboard.<br /><br />I think it is the russet potatoes that are mixed in ?? I tried adding cinnamon, brown sugar, more butter, and cream. There was no amount of doctoring that could save them. My family tasted and YUCK was the resounding response. They went straight to the trash.<br /><br />I should have just bought real sweet potatoes, mashed them, and added in the extras like I always do.<br /><br />Maybe it's because I am from the south and I am used to eating my sweet potatoes in casserole, pie, or piled high with butter, brown sugar, marshmallows and cinnamon. I tried ! I wanted to like them !",1
91,292672,"My dog is very picky but she will eat this, and it is so good for her.<br />I will definitely keep buying this.",5
92,296088,"Rich Tea biscuits are really not the most exciting or glamorous biscuits in the world, if ""exciting"" and ""glamorous"" are  even words that can be applied to biscuits at all. But they have one purpose in their un-glamorous existence, and that purpose is to stay together when dunked in very hot tea (with milk, of course) and to taste thoroughly delicious when devoured in that wobbly, floppy, milky-tea-sodden state. Basically, when you need a Rich Tea, you need a Rich Tea, and there is no other biscuit (that's ""cookie"" to most of you, I suppose) that will suffice. And when you need a Rich Tea, if it's not made by McVitie's, you really might as well forget about it. These are the dull, drab, boring, un-chocolate-covered, un-sexy, shy wallflowers of the biscuit tin, but dip 'em in a nice hot mug of English Breakfast and they are just incomparably  (if un-glamorously) delicious.<br /><br />I'm lucky in that I have a whole stash of the things my mother brought me over from the UK on her most recent visit, but that stash is dwindling already and I am very happy indeed that I can stock up via Amazon rather than having to wait until the next parental visit. Hmmm, this might just mean I can stop rationing the things out like it's WW2 or something and just munch my way merrily through half the pack with my cup of tea like I would back home!",4
