Address,Aggregate rating,Average Cost for two,City,Country Code,Country,Cuisines,Currency,Has Online delivery,Has Table booking,Is delivering now,Latitude,Locality Verbose,Locality,Longitude,Price range,Rating color,Rating text,Restaurant ID,Restaurant Name,Votes
"Ground Floor, Netlima Building, 4th Avenue Corner 26th Street, Bonifacio Global City, Taguig City",4.4,1500,Taguig City,162,Phillipines,"Cafe, Bakery, American, Italian",Botswana Pula(P),No,Yes,No,14.549337,"Bonifacio Global City, Taguig City",Bonifacio Global City,121.04622,4,Green,Very Good,6308205,Wildflour Cafe + Bakery,392
"Sixth Floor, SM Aura Premier, C5 Road Corner 26th Street, Bonifacio Global City, Taguig City",4.7,3000,Taguig City,162,Phillipines,"Seafood, American, Mediterranean, Japanese",Botswana Pula(P),No,Yes,No,14.545858,"SM Aura Premier, Bonifacio Global City, Taguig City, Taguig City","SM Aura Premier, Bonifacio Global City, Taguig City",121.053725,4,Dark Green,Excellent,6315438,NIU by Vikings,535
"Fifth Floor, SM Aura Premier, C5 Corner 26th Street, Bonifacio Global City, Taguig City",4.5,1800,Taguig City,162,Phillipines,"American, Asian, Italian, Seafood",Botswana Pula(P),No,Yes,No,14.54565535,"SM Aura Premier, Bonifacio Global City, Taguig City, Taguig City","SM Aura Premier, Bonifacio Global City, Taguig City",121.0534998,4,Dark Green,Excellent,6310406,The Food Hall by Todd English,618
"SCLN, 208, Bloco A, Loja 30, Asa Norte, Brasí_lia",3,55,Brasí_lia,30,Brazil,"Fast Food, French",Brazilian Real(R$),No,No,No,-15.76414167,"Asa Norte, Brasí_lia",Asa Norte,-47.88178889,2,Orange,Average,6600681,Chez Michou,6
"SCLN 104, Bloco A, Loja 26, Asa Norte, Brasí_lia",3.8,30,Brasí_lia,30,Brazil,Cafe,Brazilian Real(R$),No,No,No,-15.7775,"Asa Norte, Brasí_lia",Asa Norte,-47.88266667,1,Yellow,Good,6601005,Cafí© Daniel Briand,9
"SCLN 210, Bloco D, Loja 36/48, Asa Norte, Brasí_lia",3.7,45,Brasí_lia,30,Brazil,Bakery,Brazilian Real(R$),No,No,No,-15.75747222,"Asa Norte, Brasí_lia",Asa Norte,-47.88213611,2,Yellow,Good,6600292,Casa do Biscoito Mineiro,11
"CLN 110, Bloco D, Loja 28, Asa Norte, Brasí_lia",3.8,60,Brasí_lia,30,Brazil,Brazilian,Brazilian Real(R$),No,No,No,-15.75883333,"Asa Norte, Brasí_lia",Asa Norte,-47.88816667,3,Yellow,Good,6600441,Maori,11
"SCS 214, Bloco C, Loja 40, Asa Sul, Brasí_lia",3.2,50,Brasí_lia,30,Brazil,Pizza,Brazilian Real(R$),No,No,No,-15.83116667,"Asa Sul, Brasí_lia",Asa Sul,-47.91566667,2,Orange,Average,6600970,Pizza íæ Bessa,11
"SCS 213, Bloco C, Loja 35, Asa Sul, Brasí_lia",3.1,80,Brasí_lia,30,Brazil,Japanese,Brazilian Real(R$),No,No,No,-15.831,"Asa Sul, Brasí_lia",Asa Sul,-47.91566667,3,Orange,Average,6600379,Sushi Loko,10
"CLS 109, Bloco A, Loja 2/6, Asa Sul, Brasí_lia",3.7,90,Brasí_lia,30,Brazil,Arabian,Brazilian Real(R$),No,No,No,-15.82,"Asa Sul, Brasí_lia",Asa Sul,-47.9075,3,Yellow,Good,6600214,Beirute,8
"SCS 212, Bloco B, Loja 26, Asa Sul, Brasí_lia",3.7,200,Brasí_lia,30,Brazil,Japanese,Brazilian Real(R$),No,No,No,-15.82733333,"Asa Sul, Brasí_lia",Asa Sul,-47.91016667,4,Yellow,Good,6601218,New Koto,5
"Edifí_cio Josí© Severo, SCS 6, Bloco A, Loja 99, Asa Sul, Brasí_lia",0,30,Brasí_lia,30,Brazil,"Brazilian, Cafe",Brazilian Real(R$),No,No,No,-15.797,"Asa Sul, Brasí_lia",Asa Sul,-47.89016667,1,White,Not rated,6600060,Sandubas Cafí©,2
"CLS 115, Bloco A, Loja 2, Asa Sul, Brasí_lia",4.1,150,Brasí_lia,30,Brazil,Italian,Brazilian Real(R$),No,No,No,-15.83133333,"Asa Sul, Brasí_lia",Asa Sul,-47.92366667,4,Green,Very Good,6600083,Villa Tevere,12
"Rua 13 Norte, Lote 4, íguas Claras, Brasí_lia",3.1,100,Brasí_lia,30,Brazil,Pizza,Brazilian Real(R$),No,No,No,-15.83716667,"íguas Claras, Brasí_lia",íguas Claras,-48.019,4,Orange,Average,6601515,Rovereto,9
"Avenida Araucíçrias, 1325, Loja 19, íguas Claras, Brasí_lia",3.6,60,Brasí_lia,30,Brazil,"Bar Food, Brazilian",Brazilian Real(R$),No,No,No,-15.839775,"íguas Claras, Brasí_lia",íguas Claras,-48.01909167,3,Yellow,Good,6601361,Buena Carne,9
"Vila Malls, Avenida das Castanheiras, Lote 1060, í€guas Claras, Brasí_lia",4.3,100,Brasí_lia,30,Brazil,"Mexican, Grill",Brazilian Real(R$),No,No,No,-15.83483333,"íguas Claras, Brasí_lia",íguas Claras,-48.01666667,4,Green,Very Good,6601602,Taco Pep,29
"Brasí_lia Shopping - Piso 2, SCN 5, Bloco A, Asa Norte, Brasí_lia",4.2,230,Brasí_lia,30,Brazil,International,Brazilian Real(R$),No,No,No,-15.7865,"Brasí_lia Shopping, Asa Norte, Brasí_lia","Brasí_lia Shopping, Asa Norte",-47.889,4,Green,Very Good,6601589,Coco Bambu,17
"Fashion Park, Shis Ql 17, Bloco G, Loja 208, Lago Sul, Brasí_lia",3.6,100,Brasí_lia,30,Brazil,"Peruvian, Latin American",Brazilian Real(R$),No,No,No,-15.860621,"Lago Sul, Brasí_lia",Lago Sul,-47.872359,4,Yellow,Good,6601862,Taypíç,5
"ParkShopping - Piso 2, SAI/SO, írea 6580, Guaríç I, Brasí_lia",4,150,Brasí_lia,30,Brazil,"American, Grill",Brazilian Real(R$),No,No,No,-15.83451389,"ParkShopping, Guaríç I, Brasí_lia","ParkShopping, Guaríç I",-47.95628333,4,Green,Very Good,6601595,Outback Steakhouse,10
"Pontí£o Lago Sul, SHIS 10, Lote 9, Lago Sul, Brasí_lia",3.2,240,Brasí_lia,30,Brazil,Seafood,Brazilian Real(R$),No,No,No,-15.82566667,"Pontí£o Lago Sul, Lago Sul, Brasí_lia","Pontí£o Lago Sul, Lago Sul",-47.87283333,4,Orange,Average,6601158,Manzuíç,6
"SCES, Trecho 2, Conjunto 13/36, Setor de Clubes Esportivos Sul, Brasí_lia",4.9,230,Brasí_lia,30,Brazil,International,Brazilian Real(R$),No,No,No,-15.819,"Setor De Clubes Esportivos Sul, Brasí_lia",Setor De Clubes Esportivos Sul,-47.8685,4,Dark Green,Excellent,6600427,Coco Bambu,30
"Shopping Iguatemi - piso 1, SHIN CA 4, Lote A, Lago Norte, Brasí_lia",3.3,350,Brasí_lia,30,Brazil,Italian,Brazilian Real(R$),No,No,No,-15.720118,"Shopping Iguatemi, Lago Norte, Brasí_lia","Shopping Iguatemi, Lago Norte",-47.885812,4,Orange,Average,6600116,Gero,8
"CLSN 301, Bloco C, Loja 86, Sudoeste, Brasí_lia",3.6,50,Brasí_lia,30,Brazil,"American, Burger",Brazilian Real(R$),No,No,No,-15.79753056,"Sudoeste, Brasí_lia",Sudoeste,-47.92102778,2,Yellow,Good,6601457,Brazilian American Burgers,9
"Praia da Barra da Tijuca, Avenida Lí_cio Costa, Ilha 25, Barra da Tijuca, Rio de Janeiro",4,140,Rio de Janeiro,30,Brazil,"Seafood, Bar Food, Brazilian",Brazilian Real(R$),No,No,No,-23.0115,"Barra da Tijuca, Rio de Janeiro",Barra da Tijuca,-43.377,4,Green,Very Good,7303219,Pesqueiro Eco Gourmet,7
"Rua Goní_alves Dias, 32, Centro, Rio de Janeiro",4.8,100,Rio de Janeiro,30,Brazil,"Desserts, Cafe",Brazilian Real(R$),No,No,No,-22.905293,"Centro, Rio de Janeiro",Centro,-43.178826,4,Dark Green,Excellent,7304307,Confeitaria Colombo,29
"Rua Santa Clara, 36, Copabana, Rio de Janeiro",4.7,60,Rio de Janeiro,30,Brazil,"Juices, Healthy Food",Brazilian Real(R$),No,No,No,-22.97207222,"Copacabana, Rio de Janeiro",Copacabana,-43.18669167,3,Dark Green,Excellent,7301215,Bibi,24
"Avenida Prado Junior, 335 B, Copacabana, Rio de Janeiro",4.5,90,Rio de Janeiro,30,Brazil,"Beverages, Bar Food, Fast Food",Brazilian Real(R$),No,No,No,-22.96216667,"Copacabana, Rio de Janeiro",Copacabana,-43.17583333,3,Dark Green,Excellent,7300596,Cervantes,29
"Rua Ronald de Carvalho, 55, Copacabana, Rio de Janeiro",4.2,170,Rio de Janeiro,30,Brazil,Lebanese,Brazilian Real(R$),No,No,No,-22.96516667,"Copacabana, Rio de Janeiro",Copacabana,-43.176,4,Green,Very Good,7300612,Amir,11
"Galeria River, Rua Francisco Otaviano, 67, Copacabana, Rio de Janeiro",4.8,60,Rio de Janeiro,30,Brazil,Burger,Brazilian Real(R$),No,No,No,-22.98683333,"Galeria River, Copacabana, Rio de Janeiro","Galeria River, Copacabana",-43.191,3,Dark Green,Excellent,7300704,TT Burger,19
"Praí_a Santos Dumont, 116, Gíçvea, Rio de Janeiro",4.9,100,Rio de Janeiro,30,Brazil,"Brazilian, Bar Food",Brazilian Real(R$),No,No,No,-22.973507,"Gíçvea, Rio de Janeiro",Gíçvea,-43.227042,4,Dark Green,Excellent,7300955,Braseiro da Gíçvea,40
"Rua Aní_bal de Mendoní_a, 37, Ipanema, Rio de Janeiro",4.6,90,Rio de Janeiro,30,Brazil,"Brazilian, Healthy Food, Juices, Pizza",Brazilian Real(R$),No,No,No,-22.98520833,"Ipanema, Rio de Janeiro",Ipanema,-43.211425,3,Dark Green,Excellent,7300521,Balada Mix,21
"Rua Vinicius de Moraes, 49, Ipanema, Rio de Janeiro",4.9,120,Rio de Janeiro,30,Brazil,"Brazilian, Bar Food",Brazilian Real(R$),No,No,No,-22.98533333,"Ipanema, Rio de Janeiro",Ipanema,-43.203,4,Dark Green,Excellent,7300515,Garota de Ipanema,49
"Rua Joana Angí©lica, 40, Ipanema, Rio de Janeiro",4.6,170,Rio de Janeiro,30,Brazil,Brazilian,Brazilian Real(R$),No,No,No,-22.98531944,"Ipanema, Rio de Janeiro",Ipanema,-43.20520833,4,Dark Green,Excellent,7300483,Zazíç BistríÇ Tropical,21
"Rua Jardim Botí¢nico, 731, Jardim Botí¢nico, Lagoa, Rio de Janeiro",4.3,90,Rio de Janeiro,30,Brazil,Brazilian,Brazilian Real(R$),No,No,No,-22.966647,"Lagoa, Rio de Janeiro",Lagoa,-43.219563,3,Green,Very Good,7301064,Filí© de Ouro,14
"Le Monde, Bloco 3, Lojas A/B, Avenida das Amí©ricas, 3500, Barra da Tijuca, Rio de Janeiro",4,150,Rio de Janeiro,30,Brazil,Italian,Brazilian Real(R$),No,No,No,-22.99991111,"Le Monde, Barra da Tijuca, Rio de Janeiro","Le Monde, Barra da Tijuca",-43.34879167,4,Green,Very Good,7304312,D.O.C Ristorante,5
"Rua Dias Ferreira, 256, Leblon, Rio de Janeiro",4.6,250,Rio de Janeiro,30,Brazil,Japanese,Brazilian Real(R$),No,No,No,-22.98416667,"Leblon, Rio de Janeiro",Leblon,-43.227,4,Dark Green,Excellent,7300004,Sushi Leblon,25
"Avenida Ataulfo de Paiva, 1022, Lojas A e B, Leblon, Rio de Janeiro",4.4,120,Rio de Janeiro,30,Brazil,"Bakery, Sandwich, Brazilian",Brazilian Real(R$),No,No,No,-22.98516667,"Leblon, Rio de Janeiro",Leblon,-43.22566667,4,Green,Very Good,7300868,Talho Capixaba,13
"Rua Gustavo Sampaio, 798, Leme, Rio de Janeiro",4.2,40,Rio de Janeiro,30,Brazil,Brazilian,Brazilian Real(R$),No,No,No,-22.963925,"Leme, Rio de Janeiro",Leme,-43.17279167,2,Green,Very Good,7302637,Leme Light,7
"Rua Gustavo Sampaio, 610, Leme, Rio de Janeiro",4.2,250,Rio de Janeiro,30,Brazil,"Brazilian, Seafood",Brazilian Real(R$),No,No,No,-22.96337222,"Leme, Rio de Janeiro",Leme,-43.17126389,4,Green,Very Good,7302140,Shirley,8
"Madureira Shopping - Loja 289/290, Piso 2, Estrada do Portela, 222, Madureira, Rio de Janeiro, RJ",0,70,Rio de Janeiro,30,Brazil,"Bar Food, Brazilian",Brazilian Real(R$),No,No,No,-22.870413,"Madureira, Rio de Janeiro",Madureira,-43.341164,3,White,Not rated,7305048,Quiosque Chopp Brahma,1
"Rua Aprazí_vel, 62, Santa Teresa, Rio de Janeiro",4.7,300,Rio de Janeiro,30,Brazil,Brazilian,Brazilian Real(R$),No,No,No,-22.92481389,"Santa Teresa, Rio de Janeiro",Santa Teresa,-43.18736944,4,Dark Green,Excellent,7302898,Aprazí_vel,44
"Rua Barí£o de Iguatemi, 379, Tijuca, Rio de Janeiro",4.6,85,Rio de Janeiro,30,Brazil,"Brazilian, Bar Food",Brazilian Real(R$),No,No,No,-22.91370833,"Tijuca, Rio de Janeiro",Tijuca,-43.21551111,3,Dark Green,Excellent,7302859,Aconchego Carioca,24
"Avenida Joí£o Alves, 56, Urca, Rio de Janeiro",4.3,80,Rio de Janeiro,30,Brazil,"Brazilian, Bar Food",Brazilian Real(R$),No,No,No,-22.94783333,"Urca, Rio de Janeiro",Urca,-43.16266667,3,Green,Very Good,7301700,Garota de Ipanema,10
"Rua Avanhandava, 81, Bela Vista, Sí£o Paulo 10000",4.5,250,Sí£o Paulo,30,Brazil,"Italian, Pizza",Brazilian Real(R$),No,No,No,-23.55066667,"Bela Vista, Centro, Sí£o Paulo","Bela Vista, Centro",-46.64516667,4,Dark Green,Excellent,6706313,Cantina Famiglia Mancini,49
"Rua Treze de Maio, 668, Bela Vista, Sí£o Paulo 01327000",4.4,250,Sí£o Paulo,30,Brazil,"Steak, BBQ",Brazilian Real(R$),No,No,No,-23.559,"Bela Vista, Centro, Sí£o Paulo","Bela Vista, Centro",-46.64633333,4,Green,Very Good,6704326,Templo da Carne - Marcos Bassi,17
"Rua Antonio Carlos, 429, Consolaí_í£o, Sí£o Paulo",3.1,70,Sí£o Paulo,30,Brazil,Indian,Brazilian Real(R$),No,No,No,-23.55616667,"Consolaí_í£o, Sí£o Paulo",Consolaí_í£o,-46.65866667,3,Orange,Average,6711179,Gopala Hari,5
"Rua AntíÇnio Carlos, 268, Consolaí_í£o, Sí£o Paulo",4.1,100,Sí£o Paulo,30,Brazil,Brazilian,Brazilian Real(R$),No,No,No,-23.55671,"Consolaí_í£o, Sí£o Paulo",Consolaí_í£o,-46.657523,4,Green,Very Good,6702797,Jiquitaia,15
"Hotel Unique, Avenida Brigadeiro Luí_s AntíÇnio, 4700, Jardim Paulista, Sí£o Paulo",4.8,300,Sí£o Paulo,30,Brazil,"Beverages, International",Brazilian Real(R$),No,No,No,-23.581688,"Hotel Unique, Jardim Paulista, Sí£o Paulo","Hotel Unique, Jardim Paulista",-46.666851,4,Dark Green,Excellent,6700475,Skye - Hotel Unique,59
"Rua Jesuí_no Arruda, 470, Itaim Bibi, Sí£o Paulo",4.6,120,Sí£o Paulo,30,Brazil,"French, Brazilian, Beverages",Brazilian Real(R$),No,No,No,-23.582135,"Itaim Bibi, Sí£o Paulo",Itaim Bibi,-46.67511,4,Dark Green,Excellent,6713413,Les 3 Brasseurs,30
"Rua Tabapuí£, 1417, Itaim Bibi, Sí£o Paulo",3.9,75,Sí£o Paulo,30,Brazil,"Brazilian, Grill",Brazilian Real(R$),No,No,No,-23.585324,"Itaim Bibi, Sí£o Paulo",Itaim Bibi,-46.683888,3,Yellow,Good,6714340,Red Steak & Burger,5
"Rua Pedroso Alvarenga, 522, Itaim Bibi, Sí£o Paulo, SP",0,55,Sí£o Paulo,30,Brazil,Brazilian,Brazilian Real(R$),No,No,No,-23.581,"Itaim Bibi, Sí£o Paulo",Itaim Bibi,-46.67566667,2,White,Not rated,6710645,Cantinho da Gula,0
"Rua Haddock Lobo, 1240, Cerqueira Cí©sar, Jardim Paulista, Sí£o Paulo",3.4,200,Sí£o Paulo,30,Brazil,French,Brazilian Real(R$),No,No,No,-23.561568,"Jardim Paulista, Sí£o Paulo",Jardim Paulista,-46.666041,4,Orange,Average,6700402,Paris 6 Classique,73
"Alameda Lorena, 300, Jardim Paulista, Sí£o Paulo",3.5,120,Sí£o Paulo,30,Brazil,"Sushi, Japanese",Brazilian Real(R$),No,No,No,-23.571638,"Jardim Paulista, Sí£o Paulo",Jardim Paulista,-46.657418,4,Yellow,Good,6700846,Kawa Sushi,9
"Rua Haddock Lobo, 1738, Cerqueira Cí©sar, Jardim Paulista, Sí£o Paulo 10000",4.3,300,Sí£o Paulo,30,Brazil,"BBQ, Grill, Brazilian",Brazilian Real(R$),No,No,No,-23.5655,"Jardim Paulista, Sí£o Paulo",Jardim Paulista,-46.66983333,4,Green,Very Good,6702159,A Figueira Rubaiyat,39
"Rua Jacques Fí©lix, 405, Vila Nova Conceií_í£o, Moema, Sí£o Paulo",3.9,230,Sí£o Paulo,30,Brazil,Sushi,Brazilian Real(R$),No,No,No,-23.59233333,"Moema, Sí£o Paulo",Moema,-46.67133333,4,Yellow,Good,6711666,Kinoshita,12
"Rua dos Pinheiros, 320, Pinheiros, Sí£o Paulo",4.3,120,Sí£o Paulo,30,Brazil,"Gourmet Fast Food, Burger",Brazilian Real(R$),No,No,No,-23.56483333,"Pinheiros, Sí£o Paulo",Pinheiros,-46.68133333,4,Green,Very Good,6701257,Meats,68
"Praí_a Dom Josí© Gaspar, 42, Repí_blica, Sí£o Paulo 10000",4.3,150,Sí£o Paulo,30,Brazil,"Brazilian, Italian",Brazilian Real(R$),No,No,No,-23.54664167,"Repí_blica, Sí£o Paulo",Repí_blica,-46.64159444,4,Green,Very Good,6706211,Paribar,46
"Edifí_cio Itíçlia - 41ŒÁ Andar, Avenida Ipiranga, 344, Repí_blica, Sí£o Paulo",4.4,400,Sí£o Paulo,30,Brazil,Italian,Brazilian Real(R$),No,No,No,-23.545163,"Repí_blica, Sí£o Paulo",Repí_blica,-46.643425,4,Green,Very Good,6705858,Terraí_o Itíçlia,37
"Shopping MetríÇ Santa Cruz - Piso L2, Rua Domingos de Morais, 2564, Vila Mariana, Sí£o Paulo",0,65,Sí£o Paulo,30,Brazil,"Brazilian, Mineira",Brazilian Real(R$),No,No,No,-23.5995,"Shopping MetríÇ Santa Cruz, Vila Mariana, Sí£o Paulo","Shopping MetríÇ Santa Cruz, Vila Mariana",-46.63716667,3,White,Not rated,6701419,Divino Fogí£o,2
"Shopping Morumbi - Piso Lazer, Avenida Roque Petroni Jí_nior, 1089, Santo Amaro, Sí£o Paulo",0,50,Sí£o Paulo,30,Brazil,Brazilian,Brazilian Real(R$),No,No,No,-23.622925,"Shopping Morumbi, Santo Amaro, Sí£o Paulo","Shopping Morumbi, Santo Amaro",-46.698574,2,White,Not rated,6703956,Super Grill,2
"Avenida Nossa Senhora do Loreto, 1104, Vila Medeiros, Vila Maria, Sí£o Paulo",4.4,100,Sí£o Paulo,30,Brazil,"Brazilian, North Eastern",Brazilian Real(R$),No,No,No,-23.486535,"Vila Maria, Sí£o Paulo",Vila Maria,-46.581672,4,Green,Very Good,6709580,Esquina Mocotí_,22
"Rua Conceií_í£o Veloso, 56, Vila Mariana, Sí£o Paulo",4.6,70,Sí£o Paulo,30,Brazil,"Brazilian, Bar Food, Beverages",Brazilian Real(R$),No,No,No,-23.58516667,"Vila Mariana, Sí£o Paulo",Vila Mariana,-46.63566667,3,Dark Green,Excellent,6703176,Veloso,58
"Rua Dom Joí£o Batista da Costa, 70, Vila SíÇnia, Sí£o Paulo",4.1,120,Sí£o Paulo,30,Brazil,"Lebanese, Arabian",Brazilian Real(R$),No,No,No,-23.609207,"Vila SíÇnia, Sí£o Paulo",Vila SíÇnia,-46.746958,4,Green,Very Good,6713772,Sainte Marie Gastronomia,11
"2820 Meredyth Dr, Albany, GA 31707",3.3,25,Albany,216,United States,"BBQ, Burger, Seafood",Dollar($),No,No,No,31.610387,"Albany, Albany",Albany,-84.221535,2,Orange,Average,17284404,Austin's BBQ and Oyster Bar,35
"2401 Dawson Rd, Albany, GA 31707",3.3,10,Albany,216,United States,"American, BBQ",Dollar($),No,No,No,31.608743,"Albany, Albany",Albany,-84.207095,1,Orange,Average,17284203,BJ's Country Buffet,25
"115 N Jackson St, Albany, GA 31701",3.4,0,Albany,216,United States,,Dollar($),No,No,No,31.5772,"Albany, Albany",Albany,-84.154,1,Orange,Average,17284105,Cookie Shoppe,34
"2700 Dawson Rd, Albany, GA 31707",3.4,0,Albany,216,United States,Mexican,Dollar($),No,No,No,31.6158,"Albany, Albany",Albany,-84.2194,1,Orange,Average,17284302,El Vaquero Mexican Restaurant,45
"2726 Ledo Rd Ste 10, Albany, GA 31707",3.4,10,Albany,216,United States,"Coffee and Tea, Sandwich",Dollar($),No,No,No,31.622412,"Albany, Albany",Albany,-84.206944,1,Orange,Average,17284397,Elements Coffee Co - Northwest,26
"814 N Slappey Blvd, Albany, GA 31701",3.4,0,Albany,216,United States,,Dollar($),No,No,No,31.5882,"Albany, Albany",Albany,-84.1759,1,Orange,Average,17284211,Pearly's Famous Country Cookng,36
